Name,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Chow Mein,266.4853,,510,20,3.5,0,0,860,80,6,9,13
Chow Mein (Cub Meal),147.4174,,270,12,1,0,0,520,34,2,4,6
Fried Rice,263.65035,,520,16,3,0,120,850,85,1,3,11
Fried Rice (Cub Meal),175.7669,,350,10,2,0,80,570,57,0,2,7
Brown Steamed Rice,294.8348,,420,4,1,0,0,15,86,4,1,9
Brown Steamed Rice (Cub Meal),221.1261,,310,3,0.5,0,0,10,64,3,1,7
White Steamed Rice,229.63095,,380,0,0,0,0,0,87,0,0,7
White Steamed Rice (Cub Meal),144.58245,,240,0,0,0,0,0,54,0,0,5
Super Greens,198.4465,,90,3,0,0,0,260,10,5,4,6
Super Greens (Cub Meal),147.4174,,60,2,0,0,0,200,8,4,4,4
Chow Fun,240.97075,,410,9,1,0,0,1110,73,1,6,9
Chow Fun (Cub Meal),175.7669,,300,6,0.5,0,0,810,53,1,4,6
Super Greens Entree,99.22325,,45,2,0,0,0,130,5,3,2,3
Super Greens (Cub Meal Entree),73.7087,,30,1,0,0,0,95,4,2,2,2
Eggplant Tofu,172.93195,,340,24,3.5,0,0,520,23,3,17,7
Eggplant Tofu (Cub Meal),130.4077,,250,18,2.5,0,0,390,17,2,13,5
Beyond Orange Chicken,134.660125,,440,22,5,0,0,810,47,5,15,13
Beyond Orange Chicken (Cub Meal),102.0582,,330,17,4,0,0,610,36,4,11,10
Black Pepper Chicken,178.60185,,280,19,3.5,0,55,1130,15,1,7,13
Black Pepper Chicken (Cub Meal),130.4077,,200,14,2.5,0,40,830,11,<1,5,10
Kung Pao Chicken,175.7669,,290,19,3.5,0,55,970,14,2,6,16
Kung Pao Chicken (Cub Meal),124.7378,,200,14,2.5,0,40,690,10,2,4,11
Grilled Teriyaki Chicken,170.097,,275,10,3,0,160,470,14,0,9,33
Grilled Teriyaki Chicken (Cub Meal),127.57275,,210,8,2.5,0,120,350,11,0,7,25
Grilled Asian Chicken,170.097,,275,10,3,0,160,470,14,0,9,33
Grilled Asian Chicken (Cub Meal),127.57275,,210,8,2.5,0,120,350,11,0,7,25
Teriyaki Chicken,170.097,,340,13,3.5,0,195,630,14,3,10,41
Teriyaki Chicken (Cub Meal),127.57275,,250,10,2.5,0,145,470,10,0,8,31
Asian Chicken,170.097,,340,13,3.5,0,195,630,14,3,10,41
Asian Chicken (Cub Meal),127.57275,,250,10,2.5,0,145,470,10,0,8,31
Mushroom Chicken,161.59215,,220,14,2.5,0,50,840,10,1,5,13
Mushroom Chicken (Cub Meal),121.90285,,170,11,2,0,40,650,8,0,4,10
Orange Chicken,161.59215,,490,23,5,0,80,820,51,2,19,25
Orange Chicken (Cub Meal),121.90285,,370,17,3.5,0,60,620,38,1,14,19
Potato Chicken,147.4174,,190,10,2,0,30,680,18,2,4,8
Potato Chicken (Cub Meal),110.56305,,140,8,0,0,20,0,15,1,0,0
Honey Sesame Chicken Breast,150.25235,,340,15,2.5,0,45,540,35,1,16,16
Honey Sesame Chicken Breast (Cub Meal),113.398,,250,11,2,0,35,400,26,1,12,12
String Bean Chicken Breast,158.7572,,210,12,2,0,30,560,13,5,5,12
String Bean Chicken Breast (Cub Meal),119.0679,,160,9,1.5,0,25,420,10,4,4,9
Sweetfire Chicken Breast,164.4271,,360,15,3,0,45,370,40,2,19,15
Sweetfire Chicken Breast (Cub Meal),124.7378,,270,11,2.5,0,35,280,30,2,14,11
Sweet & Sour Chicken Breast,155.92225,,300,12,3,0,25,260,40,1,24,10
Sweet & Sour Chicken Breast (Cub Meal),116.23295,,270,10,2,0,20,220,35,1,21,9
Beijing Beef,158.7572,,480,27,5,0,35,600,46,2,21,14
Beijing Beef (Cub Meal),119.0679,,360,20,4,0,25,450,35,2,16,11
Black Pepper Angus Steak Entree,144.58245,,210,10,2.5,0,45,560,13,1,7,19
Black Pepper Angus Steak (Cub Meal),109.145575,,160,8,2,0,35,420,10,1,5,14
Broccoli Beef,153.0873,,150,7,1.5,0,12,520,13,2,7,9
Broccoli Beef (Cub Meal),116.23295,,110,6,1,0,10,400,10,2,5,7
Chili Crisp Shrimp,113.398,,210,10,2,0,100,340,19,2,1,13
Chili Crisp Shrimp Cub Meal,85.0485,,160,7.5,1.5,0,75,255,14,1.5,1,10
Honey Walnut Shrimp,104.89315,,360,24,3.5,0,60,590,27,1,8,11
Honey Walnut Shrimp (Cub Meal),56.699,,200,13,2,0,30,320,15,1,4,6
Wok (Fired Shrimp),170.097,,190,5,1,0,140,1140,19,1,15,17
Wok-Fired Shrimp (Cub Meal),127.57275,,140,4,0.5,0,105,860,15,1,11,13
Golden Treasure Shrimp,141.7475,,360,18,3,0,100,440,35,2,14,14
Golden Treasure Shrimp (Cub Meal),77.961125,,210,10,1.5,0,60,250,20,1,8,8
Steamed Ginger Fish,170.097,,200,12,2.5,0,40,1990,8,0,6,15
Steamed Ginger Fish (Cub Meal),56.699,,70,4,1,0,15,660,3,0,2,5
Chicken Egg Roll (1 Roll),77.961125,,200,10,2,0,20,340,20,2,2,6
Chicken Potsticker (3 Pcs),93.55335,,160,6,1.5,0,20,250,20,1,2,6
Cream Cheese Rangoon (3 Pcs),68.0388,,190,8,5,0,35,180,24,2,1,5
Vegetable Spring Roll (2 Rolls),99.22325,,240,14,2,0,0,560,24,2,0,4
"Orange Chicken Cub Meal (White Rice, Super Greens, Orange Chicken, Apple Crisps, Bottled Water)",269.32025,,580,17,4,0,60,705,84,5,30,22
"Grilled Teriyaki Chicken Cub Meal (Chow Mein, Super Greens, Grilled Teriyaki Chicken, Apple Crisps, Bottled Water)",263.65035,,400,16,3,0,120,700,36,5,16,28
"Broccoli Beef Cub Meal (White Rice, Super Greens, Broccoli Beef, Apple Crisps, Bottled Water)",269.32025,,300,7,1,0,10,500,49,6,13,11
Teriyaki Sauce,51.0291,,70,0,0,0,0,380,16,0,14,0
Apple Pie Roll,54.99803,,150,3,1,0,0,90,30,1,13,2
Sweet & Sour Sauce,51.0291,,70,0,0,0,0,115,21,0,20,0
Chili Sauce,7.087375,,10,0,0,0,0,125,2,0,2,0
Soy Sauce,5.953395,,5,0,0,0,0,375,0,0,0,0
Potsticker Sauce,11.3398,,10,0,0,0,0,290,3,0,2,0
Hot Mustard,7.087375,,10,1,0,0,0,115,0,0,0,0
Plum Sauce,7.087375,,15,0,0,0,0,55,3,0,3,0
Fortune Cookie,5.10291,,20,0,0,0,0,0,5,0,2,0
Chocolate Chunk Cookie,32.034935,,160,7,3,0,5,125,25,1,14,2
Tree Top Apple Crisps,9.63883,,40,0,0,0,0,0,10,2,7,0
Hot & Sour Soup (Cup),345.8639,,120,5,0.5,0,65,880,14,1,4,7
Hot & Sour Soup (Bowl),493.2813,,170,6,1,0,90,1260,20,1,6,10
Barq's Root Beer (Large),,1242.09,560,0,0,0,0,190,153,0,152,0
Barq's Root Beer (Small),,650.62,290,0,0,0,0,95,80,0,80,0
Barq's Root Beer (Kids),,354.88,160,0,0,0,0,55,44,0,44,0
Black Tea (Large),,1182.94,10,0,0,0,0,35,3,0,0,0
Black Tea (Medium),,946.35,10,0,0,0,0,25,3,0,0,0
Black Tea (Small),,650.62,5,0,0,0,0,20,2,0,0,0
Black Tea (Kids),,354.88,5,0,0,0,0,10,1,0,0,0
Cherry Coca-Cola (Large),,1242.09,540,0,0,0,0,140,147,0,147,0
Cherry Coca-Cola (Medium),,887.21,380,0,0,0,0,105,105,0,105,0
Cherry Coca-Cola (Small),,650.62,280,0,0,0,0,75,77,0,77,0
Cherry Coca-Cola (Kids),,354.88,150,0,0,0,0,40,42,0,42,0
Coca-Cola (Large),,1242.09,510,0,0,0,0,135,140,0,140,0
Coca-Cola (Medium),,887.21,370,0,0,0,0,95,100,0,100,0
Coca-Cola (Small),,650.62,270,0,0,0,0,70,73,0,73,0
Coca-Cola (Kids),,354.88,150,0,0,0,0,40,40,0,40,0
Coca-Cola Zero Sugar (Large),,1242.09,0,0,0,0,0,140,1,0,0,0
Coca-Cola Zero Sugar (Medium),,887.21,0,0,0,0,0,100,0,0,0,0
Coca-Cola Zero Sugar (Small),,650.62,0,0,0,0,0,75,0,0,0,0
Coca-Cola Zero Sugar (Kids),,354.88,0,0,0,0,0,40,0,0,0,0
Diet Coke (Large),,1242.09,0,0,0,0,0,170,1,0,0,0
Diet Coke (Medium),,887.21,0,0,0,0,0,125,1,0,0,0
Diet Coke (Small),,650.62,0,0,0,0,0,90,1,0,0,0
Diet Coke (Kids),,354.88,0,0,0,0,0,50,0,0,0,0
Dr Pepper (Large),,1242.09,500,0,0,0,0,150,137,0,137,0
Dr Pepper (Medium),,887.21,360,0,0,0,0,110,98,0,98,0
Dr Pepper (Small),,650.62,260,0,0,0,0,80,72,0,70,0
Dr Pepper (Kids),,354.88,140,0,0,0,0,45,39,0,38,0
Fanta Fruit Punch (Large),,1242.09,530,0,0,0,0,200,145,0,143,0
Fanta Fruit Punch (Medium),,887.21,380,0,0,0,0,150,104,0,102,0
Fanta Fruit Punch (Small),,650.62,280,0,0,0,0,105,76,0,75,0
Fanta Fruit Punch (Kids),,354.88,150,0,0,0,0,60,42,0,41,0
Fanta Orange (Large),,1242.09,520,0,0,0,0,140,142,0,139,0
Fanta Orange (Medium),,887.21,370,0,0,0,0,100,101,0,99,0
Fanta Orange (Kids),,354.88,150,0,0,0,0,40,40,0,40,0
Fanta Orange (Pr Only) (Large),,1242.09,570,0,0,0,0,200,147,0,147,0
Fanta Orange (Pr Only) (Medium),,887.21,410,0,0,0,0,140,105,0,105,0
Fanta Orange (Pr Only) (Small),,650.62,300,0,0,0,0,105,77,0,77,0
Fanta Orange (Pr Only) (Kids),,354.88,160,0,0,0,0,55,42,0,42,0
Fanta Orange (Small),,650.62,270,0,0,0,0,75,74,0,73,0
Fanta Strawberry (Large),,1242.09,550,0,0,0,0,290,150,0,149,0
Fanta Strawberry (Medium),,887.21,390,0,0,0,0,210,107,0,106,0
Fanta Strawberry (Small),,650.62,290,0,0,0,0,150,79,0,78,0
Fanta Strawberry (Kids),,354.88,160,0,0,0,0,85,43,0,73,0
Fuze Lemon Black Tea (Large),,1242.09,300,0,0,0,0,180,78,0,77,0
Fuze Lemon Black Tea (Medium),,887.21,210,0,0,0,0,125,56,0,55,0
Fuze Lemon Black Tea (Small),,650.62,150,0,0,0,0,95,41,0,40,0
Fuze Lemon Black Tea (Kids),,354.88,80,0,0,0,0,50,22,0,22,0
Fuze Raspberry Tea (Large),,1242.09,300,0,0,0,0,180,78,0,78,0
Fuze Raspberry Tea (Medium),,887.21,210,0,0,0,0,125,56,0,55,0
Fuze Raspberry Tea (Small),,650.62,150,0,0,0,0,90,41,0,41,0
Fuze Raspberry Tea (Kids),,354.88,80,0,0,0,0,50,22,0,22,0
Glaceau Vitaminwater Squeezed Zero (Large),,1242.09,10,0,0,0,0,140,3,0,0,0
Glaceau Vitaminwater Squeezed Zero (Medium),,887.21,5,0,0,0,0,100,2,0,0,0
Glaceau Vitaminwater Squeezed Zero (Small),,650.62,5,0,0,0,0,75,2,0,0,0
Glaceau Vitaminwater Squeezed Zero (Kids),,354.88,0,0,0,0,0,40,1,0,0,0
Gold Peak Premium Unsweetened Tea (Large),,1242.09,0,0,0,0,0,170,0,0,0,0
Gold Peak Premium Unsweetened Tea (Medium),,887.21,0,0,0,0,0,125,0,0,0,0
Gold Peak Premium Unsweetened Tea (Small),,650.62,0,0,0,0,0,90,0,0,0,0
Gold Peak Premium Unsweetened Tea (Kids),,354.88,0,0,0,0,0,50,0,0,0,0
Hi-C Flashin Fruit Punch (Large),,1242.09,540,0,0,0,0,260,148,0,145,0
Hi-C Flashin Fruit Punch (Medium),,887.21,390,0,0,0,0,180,106,0,103,0
Hi-C Flashin Fruit Punch (Small),,650.62,280,0,0,0,0,135,78,0,76,0
Hi-C Flashin Fruit Punch (Kids),,354.88,150,0,0,0,0,75,42,0,41,0
Lemon Green Tea (Large),,1182.94,15,0,0,0,0,0,0,0,0,3
Lemon Green Tea (Medium),,946.35,10,0,0,0,0,0,0,0,0,2
Lemon Green Tea (Small),,650.62,10,0,0,0,0,0,0,0,0,1
Minute Maid Lemonade (Large),,1242.09,550,0,0,0,0,350,138,0,132,0
Minute Maid Lemonade (Medium),,887.21,390,0,0,0,0,250,99,0,94,0
Minute Maid Lemonade (Small),,650.62,290,0,0,0,0,180,72,0,69,0
Minute Maid Lemonade (Kids),,354.88,160,0,0,0,0,100,39,0,38,0
Minute Maid Light Lemonade (Kids),,354.88,5,0,0,0,0,45,2,0,0,0
Minute Maid Light Lemonade (Large),,1242.09,20,0,0,0,0,150,7,0,0,0
Minute Maid Light Lemonade (Medium),,887.21,15,0,0,0,0,105,5,0,0,0
Minute Maid Light Lemonade (Small),,650.62,10,0,0,0,0,80,4,0,0,0
Passionfruit Mango Black Tea (Large),,1182.94,15,0,0,0,0,35,4,0,0,0
Passionfruit Mango Black Tea (Medium),,946.35,10,0,0,0,0,25,3,0,0,0
Passionfruit Mango Black Tea (Small),,650.62,5,0,0,0,0,20,2,0,0,0
Passionfruit Mango Black Tea (Kids),,354.88,5,0,0,0,0,10,1,0,0,0
Powerade Fruit Punch (Large),,1242.09,280,0,0,0,0,400,75,0,250,0
Powerade Fruit Punch (Medium),,887.21,200,0,0,0,0,290,53,0,180,0
Powerade Fruit Punch (Small),,650.62,150,0,0,0,0,210,39,0,130,0
Powerade Fruit Punch (Kids),,354.88,80,0,0,0,0,115,21,0,70,0
Powerade Mountain Berry Blast (Large),,1242.09,290,0,0,0,0,390,77,0,77,0
Powerade Mountain Berry Blast (Medium),,887.21,210,0,0,0,0,280,55,0,55,0
Powerade Mountain Berry Blast (Small),,650.62,150,0,0,0,0,210,40,0,40,0
Powerade Mountain Berry Blast (Kids),,354.88,80,0,0,0,0,110,22,0,22,0
Seagram's Ginger Ale (Large),,1242.09,450,0,0,0,0,150,121,0,121,0
Seagram's Ginger Ale (Medium),,887.21,320,0,0,0,0,110,87,0,87,0
Seagram's Ginger Ale (Small),,650.62,240,0,0,0,0,80,64,0,64,0
Seagram's Ginger Ale (Kids),,354.88,130,0,0,0,0,45,35,0,35,0
Sprite (Large),,1242.09,470,0,0,0,0,240,129,0,128,0
Sprite (Meddium),,887.21,340,0,0,0,0,170,92,0,91,0
Sprite (Small),,650.62,250,0,0,0,0,125,68,0,67,0
Sprite (Kids),,354.88,140,0,0,0,0,70,37,0,36,0
Sprite Zero (Large),,1242.09,10,0,0,0,0,160,0,0,0,0
Sprite Zero (Medium),,887.21,5,0,0,0,0,110,0,0,0,0
Sprite Zero (Small),,650.62,5,0,0,0,0,80,0,0,0,0
Sprite Zero (Kids),,354.88,0,0,0,0,0,45,0,0,0,0
Sweet Tea (Large),,1182.94,510,0,0,0,0,30,129,0,126,0
Sweet Tea (Medium),,946.35,410,0,0,0,0,25,103,0,101,0
Sweet Tea (Small),,650.62,280,0,0,0,0,15,71,0,69,0
Sweet Tea (Kids),,354.88,150,0,0,0,0,10,39,0,38,0
