Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Chick-fil-A Chicken Biscuit,450,21,8,0,35,1310,50,4,5,17
Chick-n-Minis (4-count),350,13,3.5,0,55,860,38,2,7,19
Egg White Grill,300,7,3,0,55,970,31,1,1,25
"Bacon, Egg & Cheese Biscuit",420,21,11,0,170,1240,40,2,1,15
"Sausage, Egg & Cheese Biscuit",600,40,18,0,200,1520,41,3,1,20
Chicken Hash Brown Scramble Burrito w/ Jalapeño Salsa,680,38,12,0,370,1680,50,5,1,35
Sausage Hash Brown Scramble Burrito w/ Jalapeño Salsa,670,42,15,0,350,1410,46,5,1,26
Chicken Hash Brown Scramble Bowl w/ Jalapeño Salsa,460,29,9,0,370,1220,21,4,1,31
Sausage Hash Brown Scramble Bowl w/ Jalapeño Salsa,450,33,11,0,350,960,16,3,1,21
"Bacon, Egg & Cheese Muffin",300,12,5,0,170,710,31,1,1,16
"Sausage, Egg & Cheese Muffin",490,30,12,0,200,990,32,2,1,20
"Chicken, Egg & Cheese Bagel",480,18,5,0,195,1310,51,3,8,27
Hash Browns,240,16,1.5,0,5,360,22,4,0,3
Chick-fil-A Chicken Sandwich,440,19,4,0,60,1350,40,2,5,28
Chick-fil-A Deluxe Sandwich,500,23,7,0,75,1590,42,3,6,31
Spicy Chicken Sandwich,450,19,4,0,60,1620,41,1,5,29
Chick-fil-A Spicy Deluxe Sandwich,540,25,8,0,80,1760,43,2,6,34
Chick-fil-A Nuggets (8-count),260,12,2.5,0,75,980,9,1,0,28
Chick-fil-A Nuggets (12-count),390,18,4,0,115,1460,14,2,1,41
Chick-n-Strips (3-count),350,17,3,0,70,940,22,1,3,28
Chick-n-Strips (4-count),470,23,4,0,90,1250,29,1,4,37
Grilled Chicken Sandwich,310,6,2,0,55,820,36,3,7,29
Grilled Chicken Club Sandwich,430,16,8,0,85,1120,36,3,7,37
Grilled Nuggets (8-count),140,3.5,1,0,70,440,2,0,0,25
Grilled Nuggets (12-count),210,5,2,0,100,670,3,0,1,38
Grilled Chicken Cool Wrap,350,14,5,0,60,960,29,15,3,37
Grilled Market Salad,200,6,2.5,0,60,650,15,4,8,25
Grilled Market Salad w/Toppings,330,15,3.5,0,65,690,26,6,12,27
Cobb Salad,430,21,7,0,155,1290,22,5,5,39
Cobb Salad w/Toppings,510,27,7,0,155,1360,28,6,6,40
Spicy Southwest Salad,290,8,4,0,75,970,27,8,7,29
Spicy Southwest Salad w/Toppings,450,19,6,0,75,1070,37,10,8,34
Wafﬂe Potato Fries w/Sea Salt (Medium),360,18,2,0,0,280,43,5,0,5
Wafﬂe Potato Fries w/Sea Salt (Large),460,24,2.5,0,0,370,56,7,0,6
Fruit Cup (Medium),45,0,0,0,0,0,12,2,9,0
Fruit Cup (Large),80,0,0,0,0,0,20,4,15,1
Greek Yogurt Parfait w/Granola,230,9,3.5,0,25,85,28,2,21,12
Greek Yogurt Parfait w/Cookie Crumbs,210,8,3.5,0,25,95,26,1,21,11
Superfood Side w/ Toppings (Small),150,9,1,0,0,180,18,2,12,3
Superfood Side w/o Toppings (Small),90,2.5,0,0,0,180,15,2,11,2
Superfood Side w/ Toppings (Large),190,9,1,0,0,250,25,3,18,4
Superfood Side w/o Toppings (Large),130,3.5,0.5,0,0,250,23,2,16,3
Side Salad w/o Toppings,80,4.5,3,0,15,110,6,3,3,5
Side Salad w/ Toppings,160,11,3.5,0,15,180,12,3,3,6
Chicken Soup (Small),130,3.5,1,0,35,990,15,2,1,9
Chicken Soup (Large),240,6,2.5,0,70,1920,29,3,2,18
Vanilla Milkshake (Small),500,21,13,0,70,370,67,0,66,11
Vanilla Milkshake (Large),620,25,15,0,85,470,86,0,85,15
Chocolate Milkshake (Small),560,22,13,0,70,380,82,1,79,12
Chocolate Milkshake (Large),720,26,15,0,85,480,108,1,105,15
Strawberry Milkshake (Small),570,21,13,0,70,380,85,1,77,12
Strawberry Milkshake (Large),720,25,15,0,85,480,113,1,101,15
Cookies & Cream Milkshake (Small),590,25,14,0,70,440,81,1,74,12
Cookies & Cream Milkshake (Large),750,31,17,0,85,580,107,1,97,16
Icedream Cone (Small),170,4,2,0,15,115,31,0,25,5
Icedream Cone (Large),260,6,3.5,0,20,170,45,0,38,7
Icedream Cup (Small),290,7,4.5,0,25,200,50,0,49,8
Icedream Cup (Large),360,9,5,0,35,240,61,0,60,10
Chocolate Chunk Cookie,350,16,9,0,20,240,50,2,30,4
Frosted Lemonade (Small),330,6,3.5,0,20,160,65,0,63,6
Frosted Lemonade (Large),410,7,4,0,25,200,80,0,78,8
Frosted Lemonade (Small) w/ Diet Lemonade,250,6,3.5,0,20,160,45,0,43,6
Frosted Lemonade (Large) w/Diet Lemonade,310,7,4,0,25,200,56,0,53,8
Frosted Coffee (Small),240,6,3.5,0,20,160,41,0,38,7
Frosted Coffee (Large),300,7,4,0,25,200,51,0,48,8
Fresh-Squeezed Lemonade (Medium),220,0,0,0,0,10,58,0,55,0
Fresh-Squeezed Lemonade (Large),300,0,0,0,0,15,78,0,74,0
Diet Fresh-Squeezed Lemonade (Medium),50,0,0,0,0,10,14,0,9,0
Diet Fresh-Squeezed Lemonade (Large),70,0,0,0,0,15,21,0,14,0
Sweetened Iced Tea (Medium),120,0,0,0,0,10,31,0,31,0
Sweetened Iced Tea (Large),170,0,0,0,0,10,43,0,43,0
Unsweetened Iced Tea (Medium),0,0,0,0,0,10,0,0,0,0
Unsweetened Iced Tea (Large),0,0,0,0,0,10,0,0,0,0
Coca-Cola Classic (Medium),190,0,0,0,0,60,54,0,54,0
Coca-Cola Classic (Large),310,0,0,0,0,100,86,0,86,0
Original Cold Brew Iced Coffee (Small),150,2.5,1.5,0,10,70,26,0,25,5
Original Cold Brew Iced Coffee (Large),180,3,2,0,10,85,33,0,31,6
Vanilla Cold Brew Iced Coffee (Small),160,2.5,1.5,0,10,70,30,0,28,5
Vanilla Cold Brew Iced Coffee (Large),200,3,2,0,10,85,38,0,35,6
Grilled Nuggets (4-count),70,2,0.5,0,35,220,1,0,0,13
Grilled Nuggets (6-count),110,2.5,1,0,50,330,2,0,0,19
Chick-n-Strips (1-count),120,6,1,0,25,310,7,0,1,9
Chick-n-Strips (2-count),230,11,2,0,45,620,14,1,2,19
Chick-ﬁl-A Nuggets (4-count),130,6,1.5,0,40,490,5,1,0,14
Chick-ﬁl-A Nuggets (6-count),190,9,2,0,55,730,7,1,0,21
Cinnamon Apple Sauce,60,0,0,0,0,10,15,1,14,0
Fruit Cup (Small),35,0,0,0,0,0,8,1,6,0
Wafﬂe Potato Fries w/Sea Salt (Small),280,14,1.5,0,0,220,33,4,0,4
Organic Kid’s Apple Juice (Small),35,0,0,0,0,15,9,0,9,0
Low Fat Plain Milk,90,2,1.5,0,10,95,11,0,11,7
Low Fat Chocolate Milk,150,2.5,2,0,10,170,25,1,23,7
Fresh-Squeezed Lemonade (Small),130,0,0,0,0,5,33,0,31,0
Diet Fresh-Squeezed Lemonade (Small),30,0,0,0,0,5,8,0,5,0
Light Italian,25,1.5,0,0,0,470,3,0,2,0
Light Balsamic Vinaigrette,80,4,0.5,0,0,360,10,0,9,0
Fat Free Honey Mustard,90,0,0,0,0,330,22,1,20,0
Chili Lime Vinaigrette,60,3,0,0,0,390,9,1,7,0
Garlic & Herb Ranch,280,29,5,0,25,460,2,0,1,1
Creamy Salsa,290,31,4.5,0,25,640,3,0,1,1
Avocado Lime Ranch,310,32,5,0,25,520,3,0,2,1
Apple Cider Vinaigrette,230,19,3,0,0,460,16,0,15,0
Chick-ﬁl-A Sauce,140,13,2,0,10,180,6,0,6,0
Polynesian Sauce,110,6,1,0,0,210,13,0,13,0
Honey Mustard Sauce,45,0,0,0,0,150,11,0,10,0
Garlic & Herb Ranch Sauce,140,14,2.5,0,15,230,1,0,1,0
Zesty Buffalo Sauce,30,2.5,0,0,5,540,1,0,0,0
Barbeque Sauce,45,0,0,0,0,190,10,0,9,0
Sweet & Spicy Sriracha Sauce,45,0,0,0,0,380,10,0,10,0
