Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Calcium (mg),Iron (mg),Potassium (mg),Vitamin A (μg),Vitamin D (μg),Vitamin C (mg)
Regular Chicken Platter,,521,,648,10,3,0,245,1296,79,2,4,59,83,3,927,0,0,3
Small Chicken Platter,,356,,471,7,2,0,163,926,61,1,2,40,58,2,617,0,0,2
Regular Beef Gyro Platter,,521,,939,36,16,1,107,2700,113,2,4,41,134,4,999,0,0,3
Small Beef Gyro Platter,,356,,665,24,11,1,71,1862,83,1,2,28,92,3,665,0,0,2
Regular Combo Platter,,521,,794,23,10,1,176,1998,96,2,4,50,109,3,963,0,0,3
Small Combo Platter,,357,,572,16,6,0,117,1401,73,1,3,34,77,2,645,0,0,2
Regular Falafel Platter,,536,,1049,42,7,0,0,1968,139,22,6,29,207,5,1391,0,0,3
Small Falafel Platter,,499,,914,34,6,0,0,1686,126,18,6,25,180,4,1194,0,0,3
Regular Chicken/Falafel Platter,,536,,884,30,5,0,122,1716,109,14,5,45,145,4,1223,0,0,3
Small Chicken/Falafel Platter,,386,,648,20,4,0,82,1239,85,10,4,32,109,3,845,0,0,2
Regular Beef Gyro/Falafel Platter,,536,,1030,42,12,1,53,2418,126,14,5,36,171,4,1258,0,0,3
Small Beef Gyro/Falafel Platter,,386,,745,29,8,0,36,1707,96,10,4,26,126,3,869,0,0,2
Chicken Sandwich,,278,,419,7,2,0,163,904,47,2,4,41,117,4,702,0,0,2
Beef Gyro Sandwich,,278,,613,24,11,1,71,1840,69,2,4,29,151,4,750,0,0,2
Combo Sandwich,,278,,516,16,7,0,117,1372,58,2,4,35,134,4,726,0,0,2
Falafel Sandwich,,276,,641,26,4,0,0,1259,82,14,5,20,191,5,946,0,0,2
Chicken/Falafel Sandwich,,295,,597,20,4,0,82,1222,71,10,5,32,168,5,922,0,0,2
Beef Gyro/Falafel Sandwich,,295,,694,29,8,0,36,1690,82,10,5,26,185,5,946,0,0,2
Hummus,,170,,377,24,4,0,0,756,29,13,0,12,113,3,287,0,0,0
Baba Ghanoush,,170,,187,14,2,0,0,678,11,7,0,4,58,1,230,0,0,0
Tabbouleh,,170,,68,0,0,0,0,346,15,4,1,3,85,1,509,0,0,45
Tahini,,170,,481,6,2,0,0,864,91,4,6,16,209,6,537,0,0,0
Falafel (per 2 pieces),,74,,269,15,2,0,0,564,25,8,1,8,55,1,394,0,0,0
French Fries,,283,,839,35,6,0,0,1170,121,12,0,9,26,2,1350,0,0,0
Pita (Whole Loaf),,79,,225,3,1,0,0,403,42,2,3,8,98,3,251,0,0,0
Baklava,,51,,230,10,3,0,1,89,32,4,17,3,14,1,77,0,0,0
Green Peppers,,28,,5,0,0,0,0,0,1,1,1,0,3,0,38,0,0,14
Onions,,28,,8,0,0,0,0,5,2,1,0,0,5,0,28,0,0,1
Olives,,28,,49,4,1,0,0,547,2,2,0,0,9,0,9,0,0,0
Jalapenos,,28,,5,0,0,0,0,247,1,1,0,0,22,0,22,0,0,0
Tahini,,28,,92,8,1,0,0,46,3,3,0,3,26,0,56,0,0,0
White Sauce,,85,,450,42,6,0,54,540,17,11,1,1,9,0,12,0,2,0
White Sauce,,57,,300,28,4,0,36,360,11,7,1,0,6,0,8,0,1.35,0
Hot Sauce,,7,,7,0,0,0,0,89,1,1,0,0,4,0,34,0,0,0
BBQ Sauce,,6,,11,0,0,0,0,56,3,0,2,0,3,0,12,0,0,0
Barq's Root Beer,20 fl oz cup,567,591.4705913,270,0,0,0,0,90,73,0,73,0,,,,,,
Coca-Cola,20 fl oz cup,567,591.4705913,240,0,0,0,0,65,67,0,67,0,,,,,,
Diet Coke,20 fl oz cup,567,591.4705913,0,0,0,0,0,85,1,0,0,0,,,,,,
Cherry Coca-Cola,20 fl oz cup,567,591.4705913,260,0,0,0,0,70,70,0,70,0,,,,,,
Coca-Cola Zero Sugar,20 fl oz cup,567,591.4705913,0,0,0,0,0,65,0,0,0,0,,,,,,
Dr Pepper,20 fl oz cup,567,591.4705913,240,0,0,0,0,75,65,0,64,0,,,,,,
Fanta Orange,20 fl oz cup,567,591.4705913,250,0,0,0,0,65,67,0,66,0,,,,,,
Fuze Sweet Tea,20 fl oz cup,567,591.4705913,140,0,0,0,0,85,37,0,37,0,,,,,,
Fuze Unsweet Tea,20 fl oz cup,567,591.4705913,0,0,0,0,0,85,0,0,0,0,,,,,,
Fuze Raspberry Tea,20 fl oz cup,567,591.4705913,140,0,0,0,0,85,38,0,37,0,,,,,,
Glaceau vitaminwater xxx,20 fl oz cup,567,591.4705913,120,0,0,0,0,65,32,0,31,0,,,,,,
Gold Peak Sweetened Black Tea,20 fl oz cup,567,591.4705913,190,0,0,0,0,80,52,0,52,0,,,,,,
Hi-C Poppin' Pink Lemonade,20 fl oz cup,567,591.4705913,220,0,0,0,0,160,61,0,59,0,,,,,,
Hi-C Flashin Fruit Punch,20 fl oz cup,567,591.4705913,260,0,0,0,0,120,71,0,69,0,,,,,,
Luzianne,20 fl oz cup,567,591.4705913,0,0,0,0,0,0,0,0,0,0,,,,,,
Mello Yello,20 fl oz cup,567,591.4705913,260,0,0,0,0,85,73,0,73,0,,,,,,
Minute Maid Lemonade POM (3% Juice),20 fl oz cup,567,591.4705913,240,0,0,0,0,115,67,0,63,0,,,,,,
Minute Maid Light Lemonade,20 fl oz cup,567,591.4705913,10,0,0,0,0,70,3,0,0,0,,,,,,
Pibb Xtra,20 fl oz cup,567,591.4705913,230,0,0,0,0,90,63,0,63,0,,,,,,
POWERade Mountain Berry Blast,20 fl oz cup,567,591.4705913,140,0,0,0,0,190,37,0,36,0,,,,,,
Rituals,20 fl oz cup,567,591.4705913,0,0,0,0,0,0,0,0,0,0,,,,,,
Seagram's Ginger Ale,20 fl oz cup,567,591.4705913,220,0,0,0,0,75,59,0,58,0,,,,,,
Sprite,20 fl oz cup,567,591.4705913,230,0,0,0,0,115,61,0,61,0,,,,,,
Chocolate Chip Cookie,,85,,340,13,6,0,35,280,52,2,34,5,,,,,,
Chocolate Chip Brownie,,113,,440,21,6,0,85,240,62,2,39,4,,,,,,